Algorithm,TSPA,TSPB,TSPC,TSPD
RandomSearch, 264715.690 (234787.0 – 289096.0), 265095.315 (238995.0 – 287788.0),214163.21 (192811.0 – 232188.0),217922.530 (195986.0 – 246928.0)
NearestNeighbor,86319.43 (83561.0 - 93749.0),77688.285 (75928.0 – 79791.0),56709.06 (53466.0 – 60369.0),52472.030 (48240.0 – 57939.0)
GreedyCycle,78049.310 (75990.0 – 81934.0),71717.795 (68973.0 – 78237.0),56404.07 (53723.0 – 58868.0),55334.72 (50717.0 – 61896.0)
Greedy2Regret,117178.570 (110218.0 -124855.0 ),121592.715 (111115.0 – 131138.0),69547.98 (66114.0 – 73603.0),71900.575 (66024.0 – 76887.0)
Greedy2RegretWeighted,75953.435 (74701.0 – 78510.0),71428.365 (69147.0 – 77017.0),54217.24 (51747.0 – 58087.0),52285.360 (47629.0 – 57787.0)
Greedy-intra-GreedyHeuristic,75675.58 (74610.0 - 77834.0),70978.11 (68810.0 - 76539.0),54261.745 (51470.0 - 57922.0),51988.515 (47663.0 - 57520.0)
Greedy-intra-Random,125580.04 (113422.0 - 135853.0),121994.41 (109150.0 - 136903.0),75300.81 (68287.0 - 82025.0),73293.085 (67060.0 - 79235.0)
Greedy-inter-GreedyHeuristic,75425.235 (74521.0 - 76788.0),70331.65 (68006.0 - 75287.0),53682.4 (50744.0 - 57711.0),51201.255 (47012.0 - 57524.0)
Greedy-inter-Random,77913.7 (74909.0 - 82674.0),70990.945 (68461.0 - 75250.0),51693.315 (48964.0 - 54742.0),48766.42 (45706.0 - 51972.0)
Steepest-intra-GreedyHeuristic,75673.415 (74564.0 - 77834.0),70801.835 (68633.0 - 76107.0),53933.495 (51696.0 - 57918.0),51690.78 (47401.0 - 56629.0)
Steepest-intra-Random,123909.335 (113745.0 - 133165.0),120369.82 (108269.0 - 129887.0),74236.495 (69013.0 - 80418.0),72433.845 (66007.0 - 80361.0)
Steepest-inter-GreedyHeuristic,75448.855 (74534.0 - 77063.0),70343.165 (67991.0 - 75907.0),53766.17 (50972.0 - 57024.0),51417.055 (47281.0 - 56142.0)
Steepest-inter-Random,78166.91 (75676.0 - 82885.0),71787.695 (68111.0 - 77246.0),51859.81 (49285.0 – 55835.0),48470.665 (45658.0 - 52566.0)
